mission_name,launch_date,launch_site,success,agency,mission_type
FalconSat,2006-03-24,Cape Canaveral LC-40,False,SpaceX,N/A
DemoSat,2007-03-21,Cape Canaveral LC-40,False,SpaceX,N/A
Trailblazer,2008-08-03,Cape Canaveral LC-40,False,SpaceX,N/A
RatSat,2008-09-28,Cape Canaveral LC-40,True,SpaceX,N/A
RazakSat,2009-07-13,Cape Canaveral LC-40,True,SpaceX,N/A
Falcon 9 Test Flight,2010-06-04,Vandenberg SLC-4E,True,SpaceX,N/A
COTS 1,2010-12-08,Vandenberg SLC-4E,True,SpaceX,N/A
COTS 2,2012-05-22,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-1,2012-10-08,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-2,2013-03-01,Vandenberg SLC-4E,True,SpaceX,N/A
CASSIOPE,2013-09-29,Starbase Boca Chica,True,SpaceX,N/A
SES-8,2013-12-03,Vandenberg SLC-4E,True,SpaceX,N/A
Thaicom 6,2014-01-06,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-3,2014-04-18,Vandenberg SLC-4E,True,SpaceX,N/A
OG-2 Mission 1,2014-07-14,Vandenberg SLC-4E,True,SpaceX,N/A
AsiaSat 8,2014-08-05,Vandenberg SLC-4E,True,SpaceX,N/A
AsiaSat 6,2014-09-07,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-4,2014-09-21,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-5,2015-01-10,Vandenberg SLC-4E,True,SpaceX,N/A
DSCOVR,2015-02-11,Vandenberg SLC-4E,True,SpaceX,N/A
ABS-3A / Eutelsat 115W B,2015-03-02,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-6,2015-04-14,Vandenberg SLC-4E,True,SpaceX,N/A
TürkmenÄlem 52°E / MonacoSAT,2015-04-27,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-7,2015-06-28,Vandenberg SLC-4E,False,SpaceX,N/A
OG-2 Mission 2,2015-12-22,Vandenberg SLC-4E,True,SpaceX,N/A
Jason 3,2016-01-17,Starbase Boca Chica,True,SpaceX,N/A
SES-9,2016-03-04,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-8,2016-04-08,Vandenberg SLC-4E,True,SpaceX,N/A
JCSAT-2B,2016-05-06,Vandenberg SLC-4E,True,SpaceX,N/A
Thaicom 8,2016-05-27,Vandenberg SLC-4E,True,SpaceX,N/A
ABS-2A / Eutelsat 117W B,2016-06-15,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-9,2016-07-18,Vandenberg SLC-4E,True,SpaceX,N/A
JCSAT-16,2016-08-14,Vandenberg SLC-4E,True,SpaceX,N/A
Amos-6,2016-09-01,Vandenberg SLC-4E,False,SpaceX,N/A
Iridium NEXT Mission 1,2017-01-14,Starbase Boca Chica,True,SpaceX,N/A
CRS-10,2017-02-19,Unknown,True,SpaceX,N/A
EchoStar 23,2017-03-16,Unknown,True,SpaceX,N/A
SES-10,2017-03-30,Unknown,True,SpaceX,N/A
NROL-76,2017-05-01,Unknown,True,SpaceX,N/A
Inmarsat-5 F4,2017-05-15,Unknown,True,SpaceX,N/A
CRS-11,2017-06-03,Unknown,True,SpaceX,N/A
BulgariaSat-1,2017-06-23,Unknown,True,SpaceX,N/A
Iridium NEXT Mission 2,2017-06-25,Starbase Boca Chica,True,SpaceX,N/A
Intelsat 35e,2017-07-05,Unknown,True,SpaceX,N/A
CRS-12,2017-08-14,Unknown,True,SpaceX,N/A
FormoSat-5,2017-08-24,Starbase Boca Chica,True,SpaceX,N/A
Boeing X-37B OTV-5,2017-09-07,Unknown,True,SpaceX,N/A
Iridium NEXT Mission 3,2017-10-09,Starbase Boca Chica,True,SpaceX,N/A
SES-11 / Echostar 105,2017-10-11,Unknown,True,SpaceX,N/A
KoreaSat 5A,2017-10-30,Unknown,True,SpaceX,N/A
CRS-13,2017-12-15,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 4,2017-12-23,Starbase Boca Chica,True,SpaceX,N/A
ZUMA,2018-01-08,Vandenberg SLC-4E,True,SpaceX,N/A
SES-16 / GovSat-1,2018-01-31,Vandenberg SLC-4E,True,SpaceX,N/A
Falcon Heavy Test Flight,2018-02-06,Unknown,True,SpaceX,N/A
Paz / Starlink Demo,2018-02-22,Starbase Boca Chica,True,SpaceX,N/A
Hispasat 30W-6,2018-03-06,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 5,2018-03-30,Starbase Boca Chica,True,SpaceX,N/A
CRS-14,2018-04-02,Vandenberg SLC-4E,True,SpaceX,N/A
TESS,2018-04-18,Vandenberg SLC-4E,True,SpaceX,N/A
Bangabandhu-1,2018-05-11,Unknown,True,SpaceX,N/A
Iridium NEXT Mission 6,2018-05-22,Starbase Boca Chica,True,SpaceX,N/A
SES-12,2018-06-04,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-15,2018-06-29,Vandenberg SLC-4E,True,SpaceX,N/A
Telstar 19V,2018-07-22,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 7,2018-07-25,Starbase Boca Chica,True,SpaceX,N/A
Merah Putih,2018-08-07,Vandenberg SLC-4E,True,SpaceX,N/A
Telstar 18V,2018-09-10,Vandenberg SLC-4E,True,SpaceX,N/A
SAOCOM 1A,2018-10-08,Starbase Boca Chica,True,SpaceX,N/A
Es’hail 2,2018-11-15,Unknown,True,SpaceX,N/A
SSO-A,2018-12-03,Starbase Boca Chica,True,SpaceX,N/A
CRS-16,2018-12-05,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV01,2018-12-23,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 8,2019-01-11,Starbase Boca Chica,True,SpaceX,N/A
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22,Vandenberg SLC-4E,True,SpaceX,N/A
CCtCap Demo Mission 1,2019-03-02,Unknown,True,SpaceX,N/A
ArabSat 6A,2019-04-11,Unknown,True,SpaceX,N/A
CRS-17,2019-05-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink v0.9,2019-05-24,Vandenberg SLC-4E,True,SpaceX,N/A
RADARSAT Constellation,2019-06-12,Starbase Boca Chica,True,SpaceX,N/A
STP-2,2019-06-25,Unknown,True,SpaceX,N/A
CRS-18,2019-07-25,Vandenberg SLC-4E,True,SpaceX,N/A
Amos-17,2019-08-06,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-1,2019-11-11,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-19,2019-12-05,Vandenberg SLC-4E,True,SpaceX,N/A
JCSat 18 / Kacific 1,2019-12-17,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-2,2020-01-07,Vandenberg SLC-4E,True,SpaceX,N/A
Crew Dragon In Flight Abort Test,2020-01-19,Unknown,True,SpaceX,N/A
Starlink-3,2020-01-29,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-4,2020-02-17,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-20,2020-03-07,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-5,2020-03-18,Unknown,True,SpaceX,N/A
Starlink-6,2020-04-22,Unknown,True,SpaceX,N/A
CCtCap Demo Mission 2,2020-05-30,Unknown,True,SpaceX,N/A
Starlink-7,2020-06-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-8 & SkySat 16-18,2020-06-13,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV03 (Columbus),2020-06-30,Vandenberg SLC-4E,True,SpaceX,N/A
ANASIS-II,2020-07-20,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07,Unknown,True,SpaceX,N/A
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18,Vandenberg SLC-4E,True,SpaceX,N/A
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-11 (v1.0),2020-09-03,Unknown,True,SpaceX,N/A
Starlink-12 (v1.0),2020-10-06,Unknown,True,SpaceX,N/A
Starlink-13 (v1.0),2020-10-18,Unknown,True,SpaceX,N/A
Starlink-14 (v1.0),2020-10-24,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV04 (Sacagawea),2020-11-05,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-1,2020-11-16,Unknown,True,SpaceX,N/A
Sentinel-6 Michael Freilich,2020-11-21,Starbase Boca Chica,True,SpaceX,N/A
Starlink-15 (v1.0),2020-11-25,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-21,2020-12-06,Unknown,True,SpaceX,N/A
SXM-7,2020-12-13,Vandenberg SLC-4E,True,SpaceX,N/A
NROL-108,2020-12-19,Unknown,True,SpaceX,N/A
Turksat 5A,2021-01-08,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-16 (v1.0),2021-01-20,Unknown,True,SpaceX,N/A
Transporter-1,2021-01-24,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-18 (v1.0),2021-02-04,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-19 (v1.0),2021-02-16,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-17 (v1.0),2021-03-04,Unknown,True,SpaceX,N/A
Starlink-20 (v1.0),2021-03-11,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-21 (v1.0),2021-03-14,Unknown,True,SpaceX,N/A
Starlink-22 (v1.0),2021-03-24,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-23 (v1.0),2021-04-07,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-2,2021-04-23,Unknown,True,SpaceX,N/A
Starlink-24 (v1.0),2021-04-29,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-25 (v1.0),2021-05-04,Unknown,True,SpaceX,N/A
Starlink-27 (v1.0),2021-05-09,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15,Unknown,True,SpaceX,N/A
Starlink-28 (v1.0),2021-05-26,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-22 & IROSA,2021-06-03,Unknown,True,SpaceX,N/A
SXM-8,2021-06-06,Vandenberg SLC-4E,True,SpaceX,N/A
GPS III SV05,2021-06-17,Vandenberg SLC-4E,True,SpaceX,N/A
Transporter-2,2021-06-30,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-23,2021-08-29,Unknown,True,SpaceX,N/A
Starlink 2-1 (v1.5),2021-09-14,Starbase Boca Chica,True,SpaceX,N/A
Inspiration4,2021-09-16,Unknown,True,SpaceX,N/A
Crew-3,2021-11-11,Unknown,True,SpaceX,N/A
Starlink 4-1 (v1.5),2021-11-13,Vandenberg SLC-4E,True,SpaceX,N/A
DART,2021-11-24,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-3 (v1.5),2021-12-01,Vandenberg SLC-4E,True,SpaceX,N/A
IXPE,2021-12-09,Unknown,True,SpaceX,N/A
Starlink 4-4 (v1.5),2021-12-18,Starbase Boca Chica,True,SpaceX,N/A
Türksat 5B,2021-12-19,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-24,2021-12-21,Unknown,True,SpaceX,N/A
Starlink 4-5 (v1.5),2022-01-06,Unknown,True,SpaceX,N/A
Transporter-3,2022-01-13,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-6 (v1.5),2022-01-19,Unknown,True,SpaceX,N/A
CSG-2,2022-01-31,Vandenberg SLC-4E,True,SpaceX,N/A
NROL-87,2022-02-02,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-7 (v1.5),2022-02-03,Unknown,True,SpaceX,N/A
Starlink 4-8 (v1.5),2022-02-21,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-11 (v1.5),2022-02-25,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-9 (v1.5),2022-03-03,Unknown,True,SpaceX,N/A
Starlink 4-10 (v1.5),2022-03-09,Vandenberg SLC-4E,True,SpaceX,N/A
Starlink 4-12 (v1.5),2022-03-19,Vandenberg SLC-4E,True,SpaceX,N/A
Transporter-4,2022-04-01,Vandenberg SLC-4E,True,SpaceX,N/A
Ax-1,2022-04-08,Unknown,True,SpaceX,N/A
NROL-85,2022-04-17,Starbase Boca Chica,True,SpaceX,N/A
Starlink 4-14 (v1.5),2022-04-21,Vandenberg SLC-4E,True,SpaceX,N/A
Crew-4,2022-04-27,Unknown,True,SpaceX,N/A
